T,dT,Gimpl,Gexp
48,-55,80,80
48,-50,80,80
48,-45,80,80
48,-40,80,80
48,-35,80,80
48,-30,80,80
48,-25,80,80
48,-20,80,80
48,-15,80,80
48,-10,80,80
48,-5,50,50
48,0,50,50
48,5,50,50
48,10,0,0
48,15,0,0
48,20,0,0
48,25,0,0
48,30,0,0
48,35,0,0
48,40,0,0
48,45,0,0
48,50,0,0
48,55,0,0
48,60,0,0
56,-60,80,80
56,-55,80,80
56,-50,80,80
56,-45,80,80
56,-40,80,80
56,-35,80,80
56,-30,80,80
56,-25,80,80
56,-20,80,80
56,-15,80,80
56,-10,80,80
56,-5,50,50
56,0,50,50
56,5,50,50
56,10,0,0
56,15,0,0
56,20,0,0
56,25,0,0
56,30,0,0
56,35,0,0
56,40,0,0
56,45,0,0
56,50,0,0
56,55,0,0
56,60,0,0
64,-60,80,80
64,-55,80,80
64,-50,80,80
64,-45,80,80
64,-40,80,80
64,-35,80,80
64,-30,80,80
64,-25,80,80
64,-20,80,80
64,-15,80,80
64,-10,80,80
64,-5,50,50
64,0,50,50
64,5,50,50
64,10,0,0
64,15,0,0
64,20,0,0
64,25,0,0
64,30,0,0
64,35,0,0
64,40,0,0
64,45,0,0
64,50,0,0
64,55,0,0
64,60,0,0
