run_id,case,idx,rm,dt,T,dT,Gexp,Gimpl
tb_run,Grid_T=-16_dT=-10,23,1,0,-16,-10,100,100
tb_run,Grid_T=-16_dT=0,24,1,0,-16,0,50,50
tb_run,Grid_T=-16_dT=10,25,1,0,-16,10,30,30
tb_run,Grid_T=-16_dT=30,26,1,0,-16,30,30,30
tb_run,Grid_T=-16_dT=60,27,1,0,-16,60,0,0
tb_run,Grid_T=0_dT=-60,28,1,0,0,-60,50,50
tb_run,Grid_T=0_dT=-30,29,1,0,0,-30,50,50
tb_run,Grid_T=0_dT=-10,30,1,0,0,-10,50,50
tb_run,Grid_T=0_dT=0,31,1,0,0,0,50,50
tb_run,Grid_T=0_dT=10,32,1,0,0,10,50,50
tb_run,Grid_T=0_dT=30,33,1,0,0,30,50,50
tb_run,Grid_T=0_dT=60,34,1,0,0,60,0,0
tb_run,Grid_T=16_dT=-60,35,1,0,16,-60,80,80
tb_run,Grid_T=16_dT=-30,36,1,0,16,-30,80,80
tb_run,Grid_T=16_dT=-10,37,1,0,16,-10,80,80
tb_run,Grid_T=16_dT=0,38,1,0,16,0,50,50
tb_run,Grid_T=16_dT=10,39,1,0,16,10,0,0
tb_run,Grid_T=16_dT=30,40,1,0,16,30,0,0
tb_run,Grid_T=16_dT=60,41,1,0,16,60,0,0
tb_run,Grid_T=32_dT=-60,42,1,0,32,-60,80,80
tb_run,Grid_T=32_dT=-30,43,1,0,32,-30,80,80
tb_run,Grid_T=32_dT=-10,44,1,0,32,-10,80,80
tb_run,Grid_T=32_dT=0,45,1,0,32,0,50,50
tb_run,Grid_T=32_dT=10,46,1,0,32,10,0,0
tb_run,Grid_T=32_dT=30,47,1,0,32,30,0,0
tb_run,Grid_T=32_dT=60,48,1,0,32,60,0,0
tb_run,Grid_T=64_dT=-60,49,1,0,64,-60,80,80
tb_run,Grid_T=64_dT=-30,50,1,0,64,-30,80,80
tb_run,Grid_T=64_dT=-10,51,1,0,64,-10,80,80
tb_run,Grid_T=64_dT=0,52,1,0,64,0,50,50
tb_run,Grid_T=64_dT=10,53,1,0,64,10,0,0
tb_run,Grid_T=64_dT=30,54,1,0,64,30,0,0
tb_run,Grid_T=64_dT=60,55,1,0,64,60,0,0
tb_run,Grid_T=96_dT=-60,56,1,0,96,-60,80,80
tb_run,Grid_T=96_dT=-30,57,1,0,96,-30,80,80
tb_run,Grid_T=96_dT=-10,58,1,0,96,-10,80,80
tb_run,Grid_T=96_dT=0,59,1,0,96,0,50,50
tb_run,Grid_T=96_dT=10,60,1,0,96,10,0,0
tb_run,Grid_T=96_dT=30,61,1,0,96,30,0,0
tb_run,Grid_T=96_dT=60,62,1,0,96,60,0,0
tb_run,Grid_T=127_dT=-60,63,1,0,127,-60,0,0
tb_run,Grid_T=127_dT=-30,64,1,0,127,-30,0,0
tb_run,Grid_T=127_dT=-10,65,1,0,127,-10,0,0
tb_run,Grid_T=127_dT=0,66,1,0,127,0,0,0
tb_run,Grid_T=127_dT=10,67,1,0,127,10,0,0
tb_run,Grid_T=127_dT=30,68,1,0,127,30,0,0
tb_run,Grid_T=127_dT=60,69,1,0,127,60,0,0
tb_run,Edge_sumw_zero,0,1,0,-128,127,0,0
tb_run,Random,0,1,0,10,-123,0,0
tb_run,Random,1,1,0,107,5,50,50
tb_run,Random,2,1,0,-13,30,36,36
tb_run,Random,3,1,0,126,38,0,0
tb_run,Random,4,1,0,119,67,0,0
tb_run,Random,5,1,0,-126,16,30,30
tb_run,Random,6,1,0,-103,-113,0,0
tb_run,Random,7,1,0,6,-101,0,0
tb_run,Random,8,1,0,1,53,45,45
tb_run,Random,9,1,0,96,81,0,0
tb_run,Random,10,1,0,54,-32,80,80
tb_run,Random,11,1,0,57,115,0,0
tb_run,Random,12,1,0,80,-44,80,80
tb_run,Random,13,1,0,86,-33,80,80
tb_run,Random,14,1,0,-77,-8,69,69
tb_run,Random,15,1,0,21,73,0,0
tb_run,Random,16,1,0,1,10,44,44
tb_run,Random,17,1,0,-7,-70,64,64
tb_run,Random,18,1,0,-7,-95,75,75
tb_run,Random,19,1,0,40,-75,80,80
tb_run,Random,20,1,0,11,-107,0,0
tb_run,Random,21,1,0,-26,-63,100,100
tb_run,Random,22,1,0,-51,-65,100,100
tb_run,Random,23,1,0,43,-53,80,80
tb_run,Random,24,1,0,103,76,0,0
tb_run,Random,25,1,0,-75,-3,50,50
tb_run,Random,26,1,0,-98,-66,100,100
tb_run,Random,27,1,0,-3,-16,59,59
tb_run,Random,28,1,0,20,34,0,0
tb_run,Random,29,1,0,-64,7,45,45
tb_run,Random,30,1,0,72,78,0,0
tb_run,Random,31,1,0,50,78,0,0
tb_run,Random,32,1,0,108,-117,0,0
tb_run,Random,33,1,0,-31,-72,100,100
tb_run,Random,34,1,0,-92,-60,100,100
tb_run,Random,35,1,0,-33,80,0,0
tb_run,Random,36,1,0,-46,5,50,50
tb_run,Random,37,1,0,-3,-113,0,0
tb_run,Random,38,1,0,-15,-41,94,94
tb_run,Random,39,1,0,94,-126,0,0
tb_run,Random,40,1,0,-66,67,0,0
tb_run,Random,41,1,0,117,-59,80,80
tb_run,Random,42,1,0,-79,35,30,30
tb_run,Random,43,1,0,60,-93,80,80
tb_run,Random,44,1,0,15,84,0,0
tb_run,Random,45,1,0,-17,-9,81,81
tb_run,Random,46,1,0,-75,-59,100,100
tb_run,Random,47,1,0,-62,40,30,30
tb_run,Random,48,1,0,47,123,0,0
tb_run,Random,49,1,0,-95,55,30,30
tb_run,Random,50,1,0,72,1,50,50
tb_run,Random,51,1,0,16,-17,80,80
tb_run,Random,52,1,0,99,-28,80,80
tb_run,Random,53,1,0,-34,-26,100,100
tb_run,Random,54,1,0,4,89,0,0
tb_run,Random,55,1,0,-27,88,0,0
tb_run,Random,56,1,0,10,120,0,0
tb_run,Random,57,1,0,32,112,0,0
tb_run,Random,58,1,0,2,110,0,0
tb_run,Random,59,1,0,-29,33,30,30
tb_run,Random,60,1,0,57,77,0,0
tb_run,Random,61,1,0,-102,-25,100,100
tb_run,Random,62,1,0,-91,-103,0,0
tb_run,Random,63,1,0,29,-71,80,80
tb_run,Random,64,1,0,112,-36,80,80
tb_run,Random,65,1,0,120,-22,80,80
tb_run,Random,66,1,0,25,72,0,0
tb_run,Random,67,1,0,126,-112,0,0
tb_run,Random,68,1,0,43,-110,0,0
tb_run,Random,69,1,0,6,-37,57,57
tb_run,Random,70,1,0,-80,97,0,0
tb_run,Random,71,1,0,65,7,38,38
tb_run,Random,72,1,0,44,14,0,0
tb_run,Random,73,1,0,121,15,0,0
tb_run,Random,74,1,0,-105,-116,0,0
tb_run,Random,75,1,0,-10,-115,0,0
tb_run,Random,76,1,0,65,121,0,0
tb_run,Random,77,1,0,-103,-6,55,55
tb_run,Random,78,1,0,11,68,0,0
tb_run,Random,79,1,0,-59,32,30,30
tb_run,Random,80,1,0,-2,-12,59,59
tb_run,Random,81,1,0,78,48,0,0
tb_run,Random,82,1,0,66,63,0,0
tb_run,Random,83,1,0,67,41,0,0
tb_run,Random,84,1,0,121,60,0,0
tb_run,Random,85,1,0,-74,30,30,30
tb_run,Random,86,1,0,108,61,0,0
tb_run,Random,87,1,0,58,-14,80,80
tb_run,Random,88,1,0,-90,-36,100,100
tb_run,Random,89,1,0,-32,-108,0,0
tb_run,Random,90,1,0,117,-61,80,80
tb_run,Random,91,1,0,0,-68,50,50
tb_run,Random,92,1,0,92,24,0,0
tb_run,Random,93,1,0,-9,-13,73,73
tb_run,Random,94,1,0,34,-79,80,80
tb_run,Random,95,1,0,-63,22,30,30
tb_run,Random,96,1,0,15,36,6,6
tb_run,Random,97,1,0,-43,-105,0,0
tb_run,Random,98,1,0,121,-116,0,0
tb_run,Random,99,1,0,-115,-109,0,0
tb_run,Random,100,1,0,48,4,50,50
tb_run,Random,101,1,0,-34,86,0,0
tb_run,Random,102,1,0,117,-31,80,80
tb_run,Random,103,1,0,35,-121,0,0
tb_run,Random,104,1,0,108,48,0,0
tb_run,Random,105,1,0,111,-24,80,80
tb_run,Random,106,1,0,-53,127,0,0
tb_run,Random,107,1,0,-64,18,30,30
tb_run,Random,108,1,0,5,-32,56,56
tb_run,Random,109,1,0,85,-81,80,80
tb_run,Random,110,1,0,37,-55,80,80
tb_run,Random,111,1,0,101,58,0,0
tb_run,Random,112,1,0,106,44,0,0
tb_run,Random,113,1,0,-61,-111,0,0
tb_run,Random,114,1,0,59,-101,0,0
tb_run,Random,115,1,0,120,-73,80,80
tb_run,Random,116,1,0,64,43,0,0
tb_run,Random,117,1,0,-27,111,0,0
tb_run,Random,118,1,0,-5,-17,62,62
tb_run,Random,119,1,0,12,25,20,20
tb_run,Random,120,1,0,-63,4,50,50
tb_run,Random,121,1,0,-90,-48,100,100
tb_run,Random,122,1,0,-9,40,42,42
tb_run,Random,123,1,0,65,-104,0,0
tb_run,Random,124,1,0,-17,14,30,30
tb_run,Random,125,1,0,-23,-73,100,100
tb_run,Random,126,1,0,101,-33,80,80
tb_run,Random,127,1,0,-122,-47,100,100
tb_run,Random,128,1,0,-91,18,30,30
tb_run,Random,129,1,0,33,54,0,0
tb_run,Random,130,1,0,34,-86,80,80
tb_run,Random,131,1,0,98,40,0,0
tb_run,Random,132,1,0,77,13,0,0
tb_run,Random,133,1,0,40,53,0,0
tb_run,Random,134,1,0,-92,126,0,0
tb_run,Random,135,1,0,80,20,0,0
tb_run,Random,136,1,0,-90,-45,100,100
tb_run,Random,137,1,0,-90,47,30,30
tb_run,Random,138,1,0,-19,63,0,0
tb_run,Random,139,1,0,33,-35,80,80
tb_run,Random,140,1,0,78,74,0,0
tb_run,Random,141,1,0,-65,47,30,30
tb_run,Random,142,1,0,-81,-13,100,100
tb_run,Random,143,1,0,-121,-65,100,100
tb_run,Random,144,1,0,2,-65,52,52
tb_run,Random,145,1,0,-64,-117,0,0
tb_run,Random,146,1,0,-13,-124,0,0
tb_run,Random,147,1,0,61,-88,80,80
tb_run,Random,148,1,0,79,-117,0,0
tb_run,Random,149,1,0,101,-43,80,80
tb_run,Random,150,1,0,-51,-58,100,100
tb_run,Random,151,1,0,-9,96,0,0
tb_run,Random,152,1,0,-87,-53,100,100
tb_run,Random,153,1,0,-47,127,0,0
tb_run,Random,154,1,0,-92,108,0,0
tb_run,Random,155,1,0,-1,-81,54,54
tb_run,Random,156,1,0,-59,-101,0,0
tb_run,Random,157,1,0,82,-30,80,80
tb_run,Random,158,1,0,86,71,0,0
tb_run,Random,159,1,0,30,-115,0,0
tb_run,Random,160,1,0,59,-32,80,80
tb_run,Random,161,1,0,118,-21,80,80
tb_run,Random,162,1,0,-108,70,0,0
tb_run,Random,163,1,0,-89,12,30,30
tb_run,Random,164,1,0,71,90,0,0
tb_run,Random,165,1,0,-123,82,0,0
tb_run,Random,166,1,0,-40,106,0,0
tb_run,Random,167,1,0,-97,-77,100,100
tb_run,Random,168,1,0,-91,-36,100,100
tb_run,Random,169,1,0,31,96,0,0
tb_run,Random,170,1,0,83,11,0,0
tb_run,Random,171,1,0,100,-102,0,0
tb_run,Random,172,1,0,-67,-22,100,100
tb_run,Random,173,1,0,-2,-104,0,0
tb_run,Random,174,1,0,-14,-83,87,87
tb_run,Random,175,1,0,-109,-101,0,0
tb_run,Random,176,1,0,76,98,0,0
tb_run,Random,177,1,0,-28,7,45,45
tb_run,Random,178,1,0,-114,-98,100,100
tb_run,Random,179,1,0,56,-97,80,80
tb_run,Random,180,1,0,-124,-60,100,100
tb_run,Random,181,1,0,58,-70,80,80
tb_run,Random,182,1,0,78,-17,80,80
tb_run,Random,183,1,0,-19,122,0,0
tb_run,Random,184,1,0,-107,-10,100,100
tb_run,Random,185,1,0,71,-22,80,80
tb_run,Random,186,1,0,-114,110,0,0
tb_run,Random,187,1,0,-4,53,44,44
tb_run,Random,188,1,0,-15,-69,94,94
tb_run,Random,189,1,0,16,99,0,0
tb_run,Random,190,1,0,-89,-33,100,100
tb_run,Random,191,1,0,-75,110,0,0
tb_run,Random,192,1,0,115,62,0,0
tb_run,Random,193,1,0,32,-59,80,80
tb_run,Random,194,1,0,99,-40,80,80
tb_run,Random,195,1,0,-67,-55,100,100
tb_run,Random,196,1,0,71,56,0,0
tb_run,Random,197,1,0,-107,-72,100,100
tb_run,Random,198,1,0,-117,-106,0,0
tb_run,Random,199,1,0,-3,-60,55,55
tb_run,Random,200,1,0,76,-70,80,80
tb_run,Random,201,1,0,113,10,0,0
tb_run,Random,202,1,0,-57,-128,0,0
tb_run,Random,203,1,0,-103,96,0,0
tb_run,Random,204,1,0,-112,76,0,0
tb_run,Random,205,1,0,71,-51,80,80
tb_run,Random,206,1,0,120,51,0,0
tb_run,Random,207,1,0,7,89,0,0
tb_run,Random,208,1,0,20,-119,0,0
tb_run,Random,209,1,0,-127,-50,100,100
tb_run,Random,210,1,0,-11,-44,76,76
tb_run,Random,211,1,0,-23,79,0,0
