T,dT,Gimpl,Gexp
32,241,37,-1
32,246,33,-1
32,251,29,-1
32,0,50,-1
32,5,50,-1
32,10,50,-1
32,15,50,-1
32,20,50,-1
32,25,50,-1
32,30,50,-1
32,35,45,-1
32,40,38,-1
32,45,45,-1
32,50,44,-1
32,55,49,-1
32,60,50,-1
40,196,44,-1
40,201,26,-1
40,206,30,-1
40,211,34,-1
40,216,38,-1
40,221,38,-1
40,226,38,-1
40,231,38,-1
40,236,34,-1
40,241,30,-1
40,246,27,-1
40,251,45,-1
40,0,38,-1
40,5,38,-1
40,10,38,-1
40,15,38,-1
40,20,38,-1
40,25,38,-1
40,30,38,-1
40,35,38,-1
40,40,38,-1
40,45,45,-1
40,50,44,-1
40,55,49,-1
40,60,50,-1
48,196,47,-1
48,201,39,-1
48,206,47,-1
48,211,50,-1
48,216,50,-1
48,221,50,-1
48,226,50,-1
48,231,50,-1
48,236,50,-1
48,241,48,-1
48,246,41,-1
48,251,49,-1
48,0,50,-1
48,5,50,-1
48,10,50,-1
48,15,50,-1
48,20,50,-1
48,25,50,-1
48,30,50,-1
48,35,50,-1
48,40,50,-1
48,45,50,-1
48,50,44,-1
48,55,49,-1
48,60,50,-1
56,196,47,-1
56,201,50,-1
56,206,50,-1
56,211,50,-1
56,216,50,-1
56,221,50,-1
56,226,50,-1
56,231,50,-1
56,236,50,-1
56,241,50,-1
56,246,50,-1
56,251,41,-1
56,0,50,-1
56,5,50,-1
56,10,50,-1
56,15,50,-1
56,20,50,-1
56,25,50,-1
56,30,50,-1
56,35,50,-1
56,40,50,-1
56,45,50,-1
56,50,50,-1
56,55,50,-1
56,60,50,-1
64,196,0,-1
64,201,0,-1
64,206,0,-1
64,211,0,-1
64,216,0,-1
64,221,0,-1
64,226,0,-1
64,231,0,-1
64,236,0,-1
64,241,0,-1
64,246,0,-1
64,251,0,-1
64,0,0,-1
64,5,0,-1
64,10,0,-1
64,15,0,-1
64,20,0,-1
64,25,0,-1
64,30,0,-1
64,35,0,-1
64,40,0,-1
64,45,0,-1
64,50,0,-1
64,55,0,-1
64,60,0,-1
