T,dT,Gimpl,Gexp
48,-55,80,50
48,-50,80,50
48,-45,80,50
48,-40,80,50
48,-35,80,50
48,-30,80,50
48,-25,80,50
48,-20,80,50
48,-15,80,50
48,-10,80,50
48,-5,50,50
48,0,50,50
48,5,50,50
48,10,0,50
48,15,0,50
48,20,0,50
48,25,0,50
48,30,0,50
48,35,0,50
48,40,0,50
48,45,0,50
48,50,0,50
48,55,0,50
48,60,0,50
56,-60,80,50
56,-55,80,50
56,-50,80,50
56,-45,80,50
56,-40,80,50
56,-35,80,50
56,-30,80,50
56,-25,80,50
56,-20,80,50
56,-15,80,50
56,-10,80,50
56,-5,50,50
56,0,50,50
56,5,50,50
56,10,0,50
56,15,0,50
56,20,0,50
56,25,0,50
56,30,0,50
56,35,0,50
56,40,0,50
56,45,0,50
56,50,0,50
56,55,0,50
56,60,0,50
64,-60,80,50
64,-55,80,50
64,-50,80,50
64,-45,80,50
64,-40,80,50
64,-35,80,50
64,-30,80,50
64,-25,80,50
64,-20,80,50
64,-15,80,50
64,-10,80,50
64,-5,50,50
64,0,50,50
64,5,50,50
64,10,0,50
64,15,0,50
64,20,0,50
64,25,0,50
64,30,0,50
64,35,0,50
64,40,0,50
64,45,0,50
64,50,0,50
64,55,0,50
64,60,0,50
