run_id,source,case_id,idx,reg_mode,dt_mode,T_in,dT_in,alpha,k_dt,Tneg_a,Tneg_b,Tneg_c,Tneg_d,Tzero_a,Tzero_b,Tzero_c,Tzero_d,Tpos_a,Tpos_b,Tpos_c,Tpos_d,dTneg_a,dTneg_b,dTneg_c,dTneg_d,dTzero_a,dTzero_b,dTzero_c,dTzero_d,dTpos_a,dTpos_b,dTpos_c,dTpos_d,S_w,S_wg,G_exp,G_impl,valid_impl,tool_ver,git_rev,seed
tb_run,py,Grid_T=-16_dT=30,26,0,0,-16,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,16384,4915,30,30,1,PyTest,,0
tb_run,py,Grid_T=-16_dT=60,27,0,0,-16,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=0_dT=-60,28,0,0,0,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=0_dT=-30,29,0,0,0,-30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=0_dT=-10,30,0,0,0,-10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=0_dT=0,31,0,0,0,0,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=0_dT=10,32,0,0,0,10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=0_dT=30,33,0,0,0,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=0_dT=60,34,0,0,0,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=16_dT=-60,35,0,0,16,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,16384,13107,80,80,1,PyTest,,0
tb_run,py,Grid_T=16_dT=-30,36,0,0,16,-30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,16384,13107,80,80,1,PyTest,,0
tb_run,py,Grid_T=16_dT=-10,37,0,0,16,-10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,6553,5242,80,80,1,PyTest,,0
tb_run,py,Grid_T=16_dT=0,38,0,0,16,0,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=16_dT=10,39,0,0,16,10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,8192,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=16_dT=30,40,0,0,16,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,16384,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=16_dT=60,41,0,0,16,60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=32_dT=-60,42,0,0,32,-60,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,26214,20971,80,80,1,PyTest,,0
tb_run,py,Grid_T=32_dT=-30,43,0,0,32,-30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,32767,26213,80,80,1,PyTest,,0
tb_run,py,Grid_T=32_dT=-10,44,0,0,32,-10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,6553,5242,80,80,1,PyTest,,0
tb_run,py,Grid_T=32_dT=0,45,0,0,32,0,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,0,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=32_dT=10,46,0,0,32,10,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,8192,0,0,0,1,PyTest,,0
tb_run,py,Grid_T=32_dT=30,47,0,0,32,30,32,3,-128,-64,-32,0,-16,0,0,16,0,32,64,127,-100,-50,-30,-5,-10,0,0,10,5,25,35,60,32767,0,0,0,1,PyTest,,0
